pico_step,pico_rad,pico_deg,pico_seg,pico_step_err,pico_rad_err,pico_deg_err,pico_ev,pico_t,pico_r,pico_ev_err,pico_r_err
-60,-0.9424777960769379,-54.0,1,0.05,0.0007853981633974483,0.045000000000000005,49,174966.36999940872,1.008193746035859,7.0,0.1440276780051227
-50,-0.7853981633974483,-45.0,1,0.05,0.0007853981633974483,0.045000000000000005,45,133428.85999917984,1.2141301364711934,6.708203932499369,0.18099183457871237
-40,-0.6283185307179586,-36.0,1,0.05,0.0007853981633974483,0.045000000000000005,38,86572.9399998188,1.5801704320112766,6.164414002968976,0.2563374931096803
-35,-0.5497787143782138,-31.5,1,0.05,0.0007853981633974483,0.045000000000000005,41,43494.490000247955,3.3935332958073205,6.4031242374328485,0.5299808609004691
-30,-0.47123889803846897,-27.0,1,0.05,0.0007853981633974483,0.045000000000000005,19,18678.879999637604,3.6618897921784956,4.358898943540674,0.8400951340257485
-28,-0.439822971502571,-25.2,1,0.05,0.0007853981633974483,0.045000000000000005,44,18152.120000362396,8.726253462231279,6.6332495807108,1.315532207261859
-26,-0.4084070449666731,-23.400000000000002,1,0.05,0.0007853981633974483,0.045000000000000005,51,18657.52999973297,9.84053087427048,7.14142842854285,1.3779499399503692
-24,-0.37699111843077515,-21.6,1,0.05,0.0007853981633974483,0.045000000000000005,50,10887.079999446869,16.533358807792826,7.0710678118654755,2.3381700257561278
-22,-0.3455751918948773,-19.8,1,0.05,0.0007853981633974483,0.045000000000000005,58,10831.680000066757,19.276788088155588,7.615773105863909,2.5311662808485016
-20,-0.3141592653589793,-18.0,10,0.05,0.0007853981633974483,0.045000000000000005,85,7614.090000152588,40.1886502515557,9.219544457292887,4.359071149091914
-18,-0.28274333882308134,-16.2,10,0.05,0.0007853981633974483,0.045000000000000005,172,7479.360000133514,82.78783211249981,13.114877048604,6.31251301904596
-16,-0.25132741228718347,-14.4,100,0.05,0.0007853981633974483,0.045000000000000005,1000,7912.720000267029,454.96365344388676,31.622776601683793,14.387213974741915
-14,-0.2199114857512855,-12.6,100,0.05,0.0007853981633974483,0.045000000000000005,8845,7218.049999713898,4411.4407632618395,94.04786015641186,46.90633849536962
