pico_step,pico_rad,pico_deg,pico_seg,pico_step_err,pico_rad_err,pico_deg_err,pico_ev,pico_t,pico_r,pico_ev_err,pico_r_err
-50,-0.7853981633974483,-45.0,1,0.05,0.0007853981633974483,0.045000000000000005,234,130222.8299999237,6.468911787591265,15.297058540778355,0.4228859927774135
-40,-0.6283185307179586,-36.0,1,0.05,0.0007853981633974483,0.045000000000000005,187,86573.67000079155,7.776036293642685,13.674794331177344,0.5686400910552635
-35,-0.5497787143782138,-31.5,1,0.05,0.0007853981633974483,0.045000000000000005,83,43215.729999780655,6.914149084176446,9.1104335791443,0.7589264576830229
-30,-0.47123889803846897,-27.0,1,0.05,0.0007853981633974483,0.045000000000000005,54,19038.039999723434,10.2111351800303,7.3484692283495345,1.3895594936475935
-28,-0.439822971502571,-25.2,1,0.05,0.0007853981633974483,0.045000000000000005,75,19076.900000333786,14.153242927062356,8.660254037844387,1.6342757227691238
-26,-0.4084070449666731,-23.400000000000002,1,0.05,0.0007853981633974483,0.045000000000000005,95,18020.560000658035,18.978322537563294,9.746794344808963,1.9471348082429727
-24,-0.37699111843077515,-21.6,1,0.05,0.0007853981633974483,0.045000000000000005,67,10878.630000114441,22.171909514108176,8.18535277187245,2.7087298656568732
-22,-0.3455751918948773,-19.8,1,0.05,0.0007853981633974483,0.045000000000000005,106,10874.529999494553,35.091171758019584,10.295630140987,3.408355902211493
-20,-0.3141592653589793,-18.0,10,0.05,0.0007853981633974483,0.045000000000000005,110,7485.610000133514,52.90150034438568,10.488088481701515,5.043960149333456
-18,-0.28274333882308134,-16.2,10,0.05,0.0007853981633974483,0.045000000000000005,250,7208.770000219345,124.84792828355118,15.811388300841896,7.896076290587556
-16,-0.25132741228718347,-14.4,100,0.05,0.0007853981633974483,0.045000000000000005,1200,7329.900000095367,589.3668399219354,34.64101615137755,17.013555184018422
-14,-0.2199114857512855,-12.6,100,0.05,0.0007853981633974483,0.045000000000000005,9000,7276.810000181198,4452.5004774335475,94.86832980505137,46.93347597225717
-12,-0.18849555921538758,-10.8,100,0.05,0.0007853981633974483,0.045000000000000005,25100,7210.950000524521,12530.942523998538,158.42979517754858,79.09460786688136
-10,-0.15707963267948966,-9.0,100,0.05,0.0007853981633974483,0.045000000000000005,23400,3602.3799979686737,23384.540233818097,152.97058540778355,152.86952175465905
-8,-0.12566370614359174,-7.2,100,0.05,0.0007853981633974483,0.045000000000000005,33600,3600.950002670288,33591.13564762132,183.3030277982336,183.25466879137397
-6,-0.09424777960769379,-5.4,100,0.05,0.0007853981633974483,0.045000000000000005,44100,3605.4099984169006,44033.82696273376,210.0,209.6848902987322
-4,-0.06283185307179587,-3.6,100,0.05,0.0007853981633974483,0.045000000000000005,50000,3364.659998655319,53497.233025606365,223.60679774997897,239.24689930680512
