pico_step,pico_rad,pico_deg,pico_seg,pico_ev,pico_t,pico_r,pico_step_err,pico_rad_err,pico_deg_err,pico_ev_err,pico_r_err
-30,-0.47123889803846897,-27.0,100,10000,262.8099992275238,136981.0894022854,0.05,0.0007853981633974483,0.045000000000000005,100.0,1369.8108940228542
-20,-0.3141592653589793,-18.0,100,10000,270.40000009536743,133136.09462760043,0.05,0.0007853981633974483,0.045000000000000005,100.0,1331.3609462760041
-10,-0.15707963267948966,-9.0,100,10000,264.639999628067,136033.8575067846,0.05,0.0007853981633974483,0.045000000000000005,100.0,1360.338575067846
0,0.0,0.0,100,10000,264.7099997997284,135997.88458024448,0.05,0.0007853981633974483,0.045000000000000005,100.0,1359.9788458024448
10,0.15707963267948966,9.0,100,10000,264.50000071525574,136105.85974536676,0.05,0.0007853981633974483,0.045000000000000005,100.0,1361.0585974536675
20,0.3141592653589793,18.0,100,10000,265.43000054359436,135628.97911416515,0.05,0.0007853981633974483,0.045000000000000005,100.0,1356.2897911416514
30,0.47123889803846897,27.0,100,10000,270.3199996948242,133175.49585913707,0.05,0.0007853981633974483,0.045000000000000005,100.0,1331.754958591371
40,0.6283185307179586,36.0,100,10000,267.03000044822693,134816.31254754783,0.05,0.0007853981633974483,0.045000000000000005,100.0,1348.1631254754784
