ALPIDE_step,ALPIDE_rad,ALPIDE_deg,ALPIDE_ev,ALPIDE_t,ALPIDE_r,ALPIDE_ev_err,ALPIDE_r_err
-83.12343568386454,-1.3056998744278625,-74.81109211547809,0.9999999980209395,129600.0,0.027777777722803876,7.71604938271605e-06,0.028160937688728405
-82.40818956510893,-1.2944648146669062,-74.16737060859803,3.0000000824657036,1339200.0,0.008064516350714257,1.2933473772169035e-06,0.0046747872580279685
-81.69294344635333,-1.2832297549059501,-73.523649101718,4.0000001099542715,1339200.0,0.01075268846761901,1.4934289127837516e-06,0.005405171878562597
-80.97769732759771,-1.2719946951449939,-72.87992759483794,6.000000164931407,1339200.0,0.016129032701428514,1.8290694017198163e-06,0.006637539456329809
-80.26245120884211,-1.2607596353840378,-72.2362060879579,5.000000137442839,1339200.0,0.013440860584523762,1.6697042842740365e-06,0.006051196665038691
-79.54720509008649,-1.2495245756230815,-71.59248458107784,6.999999887921149,1339200.0,0.018817203999788035,1.9756207519896883e-06,0.007178839035866652
-78.83195897133089,-1.2382895158621257,-70.9487630741978,6.000000164931407,1339200.0,0.016129032701428514,1.8290694017198163e-06,0.006637539456329809
-78.11671285257528,-1.2270544561011694,-70.30504156731774,5.999999870255124,1296000.0,0.016666666306264233,1.8900383817771435e-06,0.006860605026732154
-77.40146673381967,-1.215819396340213,-69.6613200604377,6.000000164931407,1339200.0,0.016129032701428514,1.8290694017198163e-06,0.006637539456329809
-76.68622061506404,-1.2045843365792568,-69.01759855355765,6.99999975040555,1296000.0,0.019444443751126528,2.0414747770560115e-06,0.007420416825732734
-75.97097449630844,-1.193349276818301,-68.3738770466776,5.000000137442839,1339200.0,0.013440860584523762,1.6697042842740365e-06,0.006051196665038691
-75.25572837755283,-1.1821142170573447,-67.73015553979755,4.0000001099542715,1296000.0,0.011111111416539643,1.5432098765432098e-06,0.005586334496130144
-74.54048225879723,-1.1708791572963884,-67.08643403291751,4.999999990104698,1296000.0,0.013888888861401938,1.7253610937498379e-06,0.00625428523050406
-73.82523614004161,-1.159644097535432,-66.44271252603745,5.000000137442839,1339200.0,0.013440860584523762,1.6697042842740365e-06,0.006051196665038691
-73.10999002128601,-1.148409037774476,-65.79899101915741,5.9999997523846105,1425600.0,0.015151514526223764,1.718216710706494e-06,0.006232264450607312
-72.39474390253041,-1.1371739780135202,-65.15526951227737,22.999999718740582,2678400.0,0.030913978116586804,1.7905583644387391e-06,0.0065448876753432415
-71.67949778377479,-1.1259389182525639,-64.51154800539732,16.9999999270658,2635200.0,0.02322404361621011,1.5646272106927978e-06,0.005697689109716797
-70.96425166501918,-1.1147038584916076,-63.86782649851726,18.00000041621388,2635200.0,0.024590164503024425,1.6099881174557093e-06,0.005866786221296
-70.24900554626356,-1.1034687987306513,-63.22410499163721,12.000000329862814,2678400.0,0.016129032701428514,1.2933473772169035e-06,0.004693449160015598
-69.53375942750797,-1.0922337389696954,-62.58038348475718,11.999999878025847,2635200.0,0.016393442456319463,1.3145497932368528e-06,0.00477101156899724
-68.81851330875236,-1.0809986792087392,-61.93666197787712,16.999999730614945,2592000.0,0.023611110736965202,1.590704330871011e-06,0.005793746119592655
-68.10326718999674,-1.0697636194477829,-61.29294047099707,22.000001174455974,2635200.0,0.03005464641319122,1.7799088341770756e-06,0.006503249145852065
-67.38802107124113,-1.0585285596868266,-60.64921896411702,6.999999828985892,2635200.0,0.009562841296428815,1.0040039887160712e-06,0.00363165527749895
-66.67277495248554,-1.0472934999258707,-60.005497457236984,15.999999437917722,2635200.0,0.021857922729395796,1.5179113539769277e-06,0.005523879158169102
-65.95752883372991,-1.0360584401649142,-59.36177595035692,16.000000439817086,2592000.0,0.022222222833079286,1.5432098765432098e-06,0.005616944781230423
-65.24228271497431,-1.0248233804039582,-58.71805444347687,11.000000587227987,2635200.0,0.01502732320659561,1.2585856065404523e-06,0.004564824952516446
-64.52703659621871,-1.013588320643002,-58.07433293659683,11.000000587227987,2635200.0,0.01502732320659561,1.2585856065404523e-06,0.004564824952514914
-63.8117904774631,-1.002353260882046,-57.43061142971679,13.9999995008111,2592000.0,0.019444443751126528,1.4435406584776007e-06,0.005247027056775582
-63.09654435870748,-0.9911182011210897,-56.786889922836735,16.99999957345426,2764800.0,0.02213541611126857,1.491285310191573e-06,0.0054268019178685305
-62.38129823995188,-0.9798831413601335,-56.143168415956694,24.999998987914296,3261600.0,0.027593817867455073,1.53298994358597e-06,0.005586671998025305
-61.666052121196266,-0.9686480815991773,-55.49944690907664,12.000000153057044,3304800.0,0.013071895591565408,1.0482031031038957e-06,0.003795631459456809
-60.95080600244066,-0.9574130218382212,-54.85572540219659,19.00000049281516,3304800.0,0.020697168292826973,1.3189599804952414e-06,0.0047922121965300315
-60.23555988368504,-0.946177962077265,-54.21200389531654,16.999999966355972,3304800.0,0.01851851848186925,1.2476112398988321e-06,0.004528620225687152
-59.52031376492944,-0.9349429023163089,-53.5682823884365,23.000000042884494,3304800.0,0.025054466277651954,1.451171484904599e-06,0.005282704896680057
-58.805067646173825,-0.9237078425553527,-52.924560881556445,16.99999914126238,2052000.0,0.02982455989695154,2.0093107337318033e-06,0.007323231035813103
-58.08982152741822,-0.9124727827943967,-52.280839374676404,17.000000536063453,1965600.0,0.031135532117332332,2.0976320846650695e-06,0.007648389346708084
-57.37457540866261,-0.9012377230334404,-51.63711786779635,9.999999980209395,1944000.0,0.01851851848186925,1.6266860391812652e-06,0.00590108247549727
