DAC_unit,VCASN_val,Rate_val,Noise_points,SNR,SNR_err,VCASN_err,Mean_area,Area_err,Mean_PCAr,PCAr_err
7.03125,41.0,263.8481002936779,194.77359763009707,1.3546399691952251,0.03504598121223607,2.029747040119778,16.542353610005684,1.8834117217179547,1.4091481739923044,0.31921055646057395
7.03125,45.0,297.2231968459392,152.1740768106007,1.9531789058649582,0.05331812493528338,2.029747040119778,19.15619480191774,3.1003209123702455,1.443662662232972,0.30318024697358253
7.03125,48.0,307.20753722174913,126.33062053063733,2.431774148906726,0.04806035640515672,2.029747040119778,20.93637605281129,3.855981104923866,1.3400256032013498,0.2682981350423694
7.03125,49.0,306.7482080792178,131.9992289045045,2.3238636363636362,0.06624766649739813,2.029747040119778,21.38312958435208,4.104819635493332,1.3220077769680536,0.23509133236360055
7.03125,53.0,323.0981394932134,123.22429043346091,2.6220328667072432,0.07602850964766726,2.029747040119778,23.341225626740947,4.943797365211836,1.2855526172074323,0.21125887844157293
7.03125,57.0,336.0736304999557,112.49954156436813,2.987333333333333,0.08911226544001588,2.029747040119778,24.860075875920554,5.358582759332835,1.2419373871252701,0.18215981085207392
7.03125,61.0,338.3984010675549,993.2953066796758,0.34068257324071277,0.005872572073613704,2.029747040119778,25.61015070921986,5.604528451322546,1.227326270430646,0.19217670621621086
7.03125,62.0,327.35907966615565,2708.073472677395,0.12088264331414357,0.0013180571253857843,2.029747040119778,25.639159949087823,5.691179396755098,1.2254968746440815,0.18738359788512776
7.03125,65.0,340.72044570337573,15089.873298693574,0.02257941063911213,0.0003387581524026606,2.029747040119778,26.23068456966762,5.703940938896897,1.2099880359258364,0.19095672121561835
7.03125,69.0,339.2238353314987,34602.33119866288,0.009803496573219527,0.00014648263463371765,2.029747040119778,26.72076055715233,5.775601869812856,1.205664713509758,0.19310757641103365
7.03125,73.0,386.0471657703913,89610.7754408903,0.004308044025632146,7.5052509802119e-05,2.029747040119778,27.204593532789364,5.878144341032875,1.2046652753823615,0.18822774713764914
