ALPIDE_step,ALPIDE_rad,ALPIDE_deg,ALPIDE_ev,ALPIDE_t,ALPIDE_r,ALPIDE_ev_err,ALPIDE_r_err
-89.46517066826807,-1.4053156146179402,-80.51865360144127,0.0,0.0,0.0,0.0,0.0
-88.86873619714628,-1.3959468438538205,-79.98186257743166,0.0,0.0,0.0,0.0,0.0
-88.27230172602451,-1.386578073089701,-79.44507155342205,0.0,0.0,0.0,0.0,0.0
-87.67586725490273,-1.3772093023255816,-78.90828052941245,0.0,0.0,0.0,0.0,0.0
-87.07943278378093,-1.3678405315614617,-78.37148950540283,0.0,0.0,0.0,0.0,0.0
-86.48299831265915,-1.3584717607973422,-77.83469848139323,0.0,0.0,0.0,0.0,0.0
-85.88656384153735,-1.3491029900332225,-77.29790745738362,0.0,0.0,0.0,0.0,0.0
-85.29012937041557,-1.339734219269103,-76.76111643337401,0.0,0.0,0.0,0.0,0.0
-84.69369489929379,-1.3303654485049834,-76.22432540936441,0.0,0.0,0.0,0.0,0.0
-84.09726042817199,-1.320996677740864,-75.6875343853548,0.0,0.0,0.0,0.0,0.0
-83.50082595705021,-1.3116279069767443,-75.15074336134519,0.0,0.0,0.0,0.0,0.0
-82.90439148592841,-1.3022591362126246,-74.61395233733558,0.0,0.0,0.0,0.0,0.0
-82.30795701480662,-1.2928903654485049,-74.07716131332596,0.0,0.0,0.0,0.0,0.0
-81.71152254368484,-1.2835215946843854,-73.54037028931636,0.0,0.0,0.0,0.0,0.0
-81.11508807256305,-1.2741528239202657,-73.00357926530675,0.0,0.0,0.0,0.0,0.0
-80.51865360144127,-1.2647840531561463,-72.46678824129715,0.0,0.0,0.0,0.0,0.0
-79.92221913031948,-1.2554152823920266,-71.92999721728754,0.0,0.0,0.0,0.0,0.0
-79.32578465919768,-1.246046511627907,-71.39320619327792,0.0,0.0,0.0,0.0,0.0
-78.72935018807591,-1.2366777408637872,-70.85641516926832,0.0,0.0,0.0,0.0,0.0
-78.13291571695413,-1.2273089700996678,-70.31962414525871,0.0,0.0,0.0,0.0,0.0
-77.53648124583233,-1.217940199335548,-69.7828331212491,0.0,0.0,0.0,0.0,0.0
-76.94004677471055,-1.2085714285714286,-69.2460420972395,0.0,0.0,0.0,0.0,0.0
-76.34361230358876,-1.1992026578073087,-68.70925107322988,0.0,0.0,0.0,0.0,0.0
-75.74717783246697,-1.1898338870431893,-68.17246004922028,0.0,0.0,0.0,0.0,0.0
-75.15074336134518,-1.1804651162790696,-67.63566902521066,0.0,0.0,0.0,0.0,0.0
-74.5543088902234,-1.1710963455149501,-67.09887800120106,0.0,0.0,0.0,0.0,0.0
-73.9578744191016,-1.1617275747508304,-66.56208697719144,0.0,0.0,0.0,0.0,0.0
-73.36143994797982,-1.152358803986711,-66.02529595318184,0.0,0.0,0.0,0.0,0.0
